	Date	        Open	High	Low	    Close	Aclose	Volume
0	Jul 06, 2020	370.00	375.77	369.87	374.01	374.01	19,267,916
1	Jul 02, 2020	367.85	370.47	363.64	364.11	364.11	28,510,400
2	Jul 01, 2020	365.12	367.36	363.91	364.11	364.11	27,684,300
3	Jun 30, 2020	360.08	365.98	360.00	364.80	364.80	35,055,800
4	Jun 29, 2020	353.25	362.17	351.28	361.78	361.78	32,661,500
5	Jun 26, 2020	364.41	365.32	353.02	353.63	353.63	51,314,200
6	Jun 25, 2020	360.70	365.00	357.57	364.84	364.84	34,380,600
7	Jun 24, 2020	365.00	368.79	358.52	360.06	360.06	48,155,800
8	Jun 23, 2020	364.00	372.38	362.27	366.53	366.53	53,038,900
9	Jun 22, 2020	351.34	359.46	351.15	358.87	358.87	33,861,300
10	Jun 19, 2020	354.64	356.56	345.15	349.72	349.72	66,119,000
11	Jun 18, 2020	351.41	353.45	349.22	351.73	351.73	24,205,100
12	Jun 17, 2020	355.15	355.40	351.09	351.59	351.59	28,532,000
13	Jun 16, 2020	351.46	353.20	344.72	352.08	352.08	41,357,200
14	Jun 15, 2020	333.25	345.68	332.58	342.99	342.99	34,702,200
15	Jun 12, 2020	344.72	347.80	334.22	338.80	338.80	50,001,500
16	Jun 11, 2020	349.31	351.06	335.48	335.90	335.90	50,415,600
17	Jun 10, 2020	347.90	354.77	346.09	352.84	352.84	41,662,900
18	Jun 09, 2020	332.14	345.61	332.01	343.99	343.99	36,928,100
19	Jun 08, 2020	330.25	333.60	327.32	333.46	333.46	23,913,600
20	Jun 05, 2020	323.35	331.75	323.23	331.50	331.50	34,312,600
21	Jun 04, 2020	324.39	325.62	320.78	322.32	322.32	21,890,100
22	Jun 03, 2020	324.66	326.20	322.30	325.12	325.12	26,122,800
23	Jun 02, 2020	320.75	323.44	318.93	323.34	323.34	21,910,700
24	Jun 01, 2020	317.75	322.35	317.21	321.85	321.85	20,197,800
25	May 29, 2020	319.25	321.15	316.47	317.94	317.94	38,399,500
26	May 28, 2020	316.77	323.44	315.63	318.25	318.25	33,390,200
27	May 27, 2020	316.14	318.71	313.09	318.11	318.11	28,236,300
28	May 26, 2020	323.50	324.24	316.50	316.73	316.73	31,380,500
29	May 22, 2020	315.77	319.23	315.35	318.89	318.89	20,450,800
30	May 21, 2020	318.66	320.89	315.87	316.85	316.85	25,672,200
31	May 20, 2020	316.68	319.52	316.52	319.23	319.23	27,876,200
32	May 19, 2020	315.03	318.52	313.01	313.14	313.14	25,432,400
33	May 18, 2020	313.17	316.50	310.32	314.96	314.96	33,843,100
34	May 15, 2020	300.35	307.90	300.21	307.71	307.71	41,587,100
35	May 14, 2020	304.51	309.79	301.53	309.54	309.54	39,732,300
36	May 13, 2020	312.15	315.95	303.21	307.65	307.65	50,155,600
37	May 12, 2020	317.83	319.69	310.91	311.41	311.41	40,575,300
38	May 11, 2020	308.10	317.05	307.24	315.01	315.01	36,405,900
39	May 08, 2020	305.64	310.35	304.29	310.13	310.13	33,512,000
40	May 07, 2020	303.22	305.17	301.97	303.74	302.92	28,803,800
41	May 06, 2020	300.46	303.24	298.87	300.63	299.82	35,583,400
42	May 05, 2020	295.06	301.00	294.46	297.56	296.76	36,937,800
