	Date	        Open	High	Low	    Close	Aclose	Volume
0	Dec 26, 2019	284.82	289.98	284.70	289.91	288.44	23,280,300
1	Dec 24, 2019	284.69	284.89	282.92	284.27	282.83	12,119,700
2	Dec 23, 2019	280.53	284.25	280.37	284.00	282.56	24,643,000
3	Dec 20, 2019	282.23	282.65	278.56	279.44	278.03	68,994,500
4	Dec 19, 2019	279.50	281.18	278.95	280.02	278.60	24,592,300
5	Dec 18, 2019	279.80	281.90	279.12	279.74	278.32	29,007,100
6	Dec 17, 2019	279.57	281.77	278.80	280.41	278.99	28,539,600
7	Dec 16, 2019	277.00	280.79	276.98	279.86	278.44	32,046,500
8	Dec 13, 2019	271.46	275.30	270.93	275.15	273.76	33,396,900
9	Dec 12, 2019	267.78	272.56	267.32	271.46	270.09	34,327,600
10	Dec 11, 2019	268.81	271.10	268.50	270.77	269.40	19,689,200
11	Dec 10, 2019	268.60	270.07	265.86	268.48	267.12	22,605,100
12	Dec 09, 2019	270.00	270.80	264.91	266.92	265.57	32,010,600
13	Dec 06, 2019	267.48	271.00	267.30	270.71	269.34	26,518,900
14	Dec 05, 2019	263.79	265.89	262.73	265.58	264.24	18,606,100
15	Dec 04, 2019	261.07	263.31	260.68	261.74	260.42	16,795,400
16	Dec 03, 2019	258.31	259.53	256.29	259.45	258.14	28,607,600
17	Dec 02, 2019	267.27	268.25	263.45	264.16	262.82	23,621,800
18	Nov 29, 2019	266.60	268.00	265.90	267.25	265.90	11,654,400
19	Nov 27, 2019	265.58	267.98	265.31	267.84	266.48	16,308,900
20	Nov 26, 2019	266.94	267.16	262.50	264.29	262.95	26,301,900
21	Nov 25, 2019	262.71	266.44	262.52	266.37	265.02	21,005,100
22	Nov 22, 2019	262.59	263.18	260.84	261.78	260.46	16,331,300
23	Nov 21, 2019	263.69	264.01	261.18	262.01	260.68	30,348,800
24	Nov 20, 2019	265.54	266.08	260.40	263.19	261.86	26,558,600
25	Nov 19, 2019	267.90	268.00	265.39	266.29	264.94	19,041,800
26	Nov 18, 2019	265.80	267.43	264.23	267.10	265.75	21,675,800
27	Nov 15, 2019	263.68	265.78	263.01	265.76	264.42	25,051,600
28	Nov 14, 2019	263.75	264.88	262.10	262.64	261.31	22,295,700
29	Nov 13, 2019	261.13	264.78	261.07	264.47	263.13	25,683,600
30	Nov 12, 2019	261.55	262.79	260.92	261.96	260.63	21,847,200
31	Nov 11, 2019	258.30	262.47	258.28	262.20	260.87	20,455,300
32	Nov 08, 2019	258.69	260.44	256.85	260.14	258.82	17,496,600
33	Nov 07, 2019	258.74	260.35	258.11	259.43	258.12	23,735,100
34	Nov 06, 2019	256.77	257.49	255.37	257.24	255.17	18,966,100
35	Nov 05, 2019	257.05	258.19	256.32	257.13	255.06	19,974,400
36	Nov 04, 2019	257.33	257.85	255.38	257.50	255.43	25,818,000
37	Nov 01, 2019	249.54	255.93	249.16	255.82	253.76	37,781,300
38	Oct 31, 2019	247.24	249.17	237.26	248.76	246.76	34,790,500
39	Oct 30, 2019	244.76	245.30	241.21	243.26	241.30	31,130,500
40	Oct 29, 2019	248.97	249.75	242.57	243.29	241.33	35,709,900
41	Oct 28, 2019	247.42	249.25	246.72	249.05	247.05	24,143,200
42	Oct 25, 2019	243.16	246.73	242.88	246.58	244.60	18,369,300
43	Oct 24, 2019	244.51	244.80	241.81	243.58	241.62	17,318,800
44	Oct 23, 2019	242.10	243.24	241.22	243.18	241.23	18,957,200
45	Oct 22, 2019	241.16	242.20	239.62	239.96	238.03	20,573,400
46	Oct 21, 2019	237.52	240.99	237.32	240.51	238.58	21,811,800
47	Oct 18, 2019	234.59	237.58	234.29	236.41	234.51	24,358,400
48	Oct 17, 2019	235.09	236.15	233.52	235.28	233.39	16,896,300
49	Oct 16, 2019	233.37	235.24	233.20	234.37	232.49	18,475,800
50	Oct 15, 2019	236.39	237.65	234.88	235.32	233.43	21,840,000
51	Oct 14, 2019	234.90	238.13	234.67	235.87	233.97	24,106,900
